O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,AC_NO,Position,Party Code
6,R.THIRUMENI,Makkal Needhi Maiam,1350,6,1356,0.78,181,6,MNM
7,S.PURACHIBALAN,Anna Dravidar Kazhagam,74,0,74,0.04,181,17,ADK
8,S.MUNIARAJU,Amma Makkal Munnettra Kazagam,1485,18,1503,0.86,181,5,AMMK
9,C. ALAGU SUBBIAH,Independent,408,4,412,0.24,181,10,I
10,M.KARTHICK,Independent,65,0,65,0.04,181,21,I
11,R.SUNDARAM,Independent,69,1,70,0.04,181,19,I
12,K.SELVAKUMAR,Independent,54,0,54,0.03,181,22,I
13,M.SELVAKUMAR,Independent,87,0,87,0.05,181,16,I
14,S.SELVAKUMAR,Independent,109,0,109,0.06,181,14,I
15,M.SELVAKUMAR,Independent,315,0,315,0.18,181,12,I
16,K.SELVAKUMAR,Independent,15111,33,15144,8.7,181,3,I
17,M.SELVAKUMAR,Independent,456,0,456,0.26,181,9,I
18,M. DURAIRAJAN,Independent,365,0,365,0.21,181,11,I
19,R. PALANIYAPPAN,Independent,92,0,92,0.05,181,15,I
20,S.MANIKANDAN,Independent,66,0,66,0.04,181,20,I
21,AL.MATHIALAGAN,Independent,51,0,51,0.03,181,23,I
22,MUTHUADAIKKAN @ ADAIKKALAM,Independent,73,1,74,0.04,181,17,I
23,NOTA,None of the Above,568,1,569,0.33,181,7,NOTA
1,M.CHINNADURAI,Bahujan Samaj Party,442,2,444,0.26,182,7,BSP
2,DHARMA THANGAVEL,All India Anna Dravida Munnetra Kazhagam,61918,170,62088,36.13,182,2,AIADMK
3,SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,86743,1192,87935,51.17,182,1,DMK
4,C.THIRUCHELVAM,Naam Tamilar Katchi,15403,74,15477,9.01,182,3,NTK
5,P.BALAMURUGAN,My India Party,179,1,180,0.1,182,10,MIP
6,G.MANIMEGALAI,Communist Party of India (Marxist-Leninist) (Liberation),163,2,165,0.1,182,11,CPI(M)(L)
7,D.VIDANGAR,Amma Makkal Munnettra Kazagam,2899,25,2924,1.7,182,4,AMMK
8,N.VAIRAVAN,Makkal Needhi Maiam,1221,9,1230,0.72,182,5,MNM
9,C.JAYA,Anaithu Makkal Puratchi Katchi,154,1,155,0.09,182,12,AMPK
10,V.KANNADASAN,Independent,343,0,343,0.2,182,8,I
11,T.VINAYAGAMOORTHY,Independent,199,0,199,0.12,182,9,I
12,NOTA,None of the Above,699,3,702,0.41,182,6,NOTA
1,RAMACHANDRAN T,Indian National Congress,80902,933,81835,48.7,183,1,INC
2,RAJANAYAGAM M,All India Anna Dravida Munnetra Kazhagam,50655,287,50942,30.31,183,2,AIADMK
3,JEEVA A,Bahujan Samaj Party,633,3,636,0.38,183,9,BSP
4,AMALADOSS SANDHIYAGU,Puthiya Tamilagam,599,13,612,0.36,183,10,PT
5,RAMALINGASWAMI ADIHITHAN. PPC,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),167,1,168,0.1,183,19,AIJMK(D.I
6,KUMARAPPAN B,My India Party,125,0,125,0.07,183,22,MIP
7,SAKTHIVEL K,Tamizhaga Murpokku Makkal Katchi,162,0,162,0.1,183,20,TMMK
8,SIVASHANMUGAM K,Amma Makkal Munnettra Kazagam,4678,21,4699,2.8,183,4,AMMK
9,SHAIK MOHAMED B,Makkal Needhi Maiam,960,6,966,0.57,183,8,MNM
10,HUMAYUN KABIR M I,Naam Tamilar Katchi,18398,62,18460,10.98,183,3,NTK
11,ARJUNAN R,Independent,140,0,140,0.08,183,21,I
12,SYED SULTHAN IBRAHIM A,Independent,201,1,202,0.12,183,17,I
13,SELVAKUMAR K,Independent,391,0,391,0.23,183,14,I
14,TILLAINATHAN R,Independent,179,1,180,0.11,183,18,I
15,"DHETCHENA MOORTHY, Dr. S",Independent,1064,16,1080,0.64,183,7,I
16,PANDIYAN V,Independent,505,0,505,0.3,183,12,I
17,MAHENDRAN K,Independent,493,0,493,0.29,183,13,I
18,MUTHUKKARUPPAIAH K,Independent,334,0,334,0.2,183,15,I
19,MUTHUSELVAM V,Independent,2159,5,2164,1.29,183,6,I
20,RAMASAMY R S,Independent,212,0,212,0.13,183,16,I
21,VELRAJ. K P,Independent,3150,14,3164,1.88,183,5,I
22,JEGADEESAN R,Independent,54,0,54,0.03,183,23,I
23,NOTA,None of the Above,524,0,524,0.31,183,11,NOTA
1,N.Baluswamy,Bahujan Samaj Party,649,3,652,0.31,184,8,BSP
2,S.Mangudi,Indian National Congress,73777,2177,75954,35.75,184,1,INC
3,H.Raja,Bharatiya Janata Party,53863,502,54365,25.59,184,2,BJP
4,N.Durai Manickam,Naam Tamilar Katchi,23725,147,23872,11.24,184,4,NTK
5,Dherpoki V Pandi,Amma Makkal Munnettra Kazagam,44561,303,44864,21.12,184,3,AMMK
6,Rajkumar.G,Anna MGR Dravida Makkal Kalgam,338,3,341,0.16,184,13,AMDMK
7,S.Rajkumar,Makkal Needhi Maiam,8260,91,8351,3.93,184,5,MNM
8,B.Vanitha,Puthiya Tamilagam,698,4,702,0.33,184,7,PT
9,A.Ganesan,Independent,340,6,346,0.16,184,12,I
10,M.Naina Mohamed,Independent,412,4,416,0.2,184,11,I
11,A.Paramasivam,Independent,192,0,192,0.09,184,14,I
12,N.Meenal,Independent,543,5,548,0.26,184,9,I
13,K.Velu,Independent,498,6,504,0.24,184,10,I
14,NOTA,None of the Above,1329,20,1349,0.63,184,6,NOTA
1,MARUDHU ALAGURAJ,All India Anna Dravida Munnetra Kazhagam,65915,393,66308,31.46,185,2,AIADMK
2,KR.PERIYAKARUPPAN,Dravida Munnetra Kazhagam,102261,1421,103682,49.19,185,1,DMK
3,A.AMALAN SAVARIMUTHU,Indiya Jananayaka Katchi,856,6,862,0.41,185,6,IJK
4,K.K.UMADHEVAN,Amma Makkal Munnettra Kazagam,7396,52,7448,3.53,185,5,AMMK
5,KOTTAIKUMAR,Naam Tamilar Katchi,14518,53,14571,6.91,185,3,NTK
6,M.SARASWATHI,Puthiya Tamilagam,240,1,241,0.11,185,13,PT
7,S.MURUGAN,Anaithu Makkal Puratchi Katchi,95,1,96,0.05,185,19,AMPK
8,K.VEERAPANDIAN,My India Party,143,1,144,0.07,185,16,MIP
9,G.ABDUL KISHORE BABU,Independent,84,1,85,0.04,185,20,I
10,ANANDHAN K,Independent,62,0,62,0.03,185,26,I
11,C.KANNAN,Independent,67,1,68,0.03,185,23,I
12,A.KARTHIKA,Independent,80,0,80,0.04,185,21,I
13,P.SELVARAJ,Independent,221,0,221,0.1,185,14,I
14,C.PARAMASIVAM,Independent,13186,16,13202,6.26,185,4,I
15,PALANIAPPAN,Independent,333,0,333,0.16,185,12,I
16,A.PARTHASARATHY,Independent,465,0,465,0.22,185,9,I
17,PERIYASAMY,Independent,604,1,605,0.29,185,8,I
18,A.MALLIKA,Independent,444,0,444,0.21,185,10,I
19,M.MOHAMED RABEEK,Independent,122,0,122,0.06,185,17,I
20,MUTHULAKSHMI,Independent,65,0,65,0.03,185,24,I
21,RM.MURUGESAN,Independent,69,0,69,0.03,185,22,I
22,K.S.K.RAJESH,Independent,352,0,352,0.17,185,11,I
23,P.RAJESWARI,Independent,152,0,152,0.07,185,15,I
24,RENUKA,Independent,56,0,56,0.03,185,27,I
25,J.VEERAYI,Independent,65,0,65,0.03,185,24,I
26,P.JEYACHANDRAN,Independent,115,0,115,0.05,185,18,I
27,NOTA,None of the Above,845,8,853,0.4,185,7,NOTA
1,S. Gunasekaran,Communist Party of India,69101,1799,70900,35.09,186,2,CPI
2,PR. Senthilnathan,All India Anna Dravida Munnetra Kazhagam,81267,886,82153,40.66,186,1,AIADMK
3,K. Anbarasan,Amma Makkal Munnettra Kazagam,19631,193,19824,9.81,186,4,AMMK
4,N. Pandimuthu,My India Party,369,4,373,0.18,186,8,MIP
5,R. Mallika,Naam Tamilar Katchi,22301,199,22500,11.14,186,3,NTK
6,Vadivel. C,Anaithu Makkal Puratchi Katchi,239,2,241,0.12,186,11,AMPK
7,Joseph. C,Makkal Needhi Maiam,2076,29,2105,1.04,186,5,MNM
8,K. Kalaiselvam,Independent,120,3,123,0.06,186,15,I
9,C. Kaningprabhu,Independent,109,3,112,0.06,186,16,I
10,R. Gunasekaran,Independent,145,10,155,0.08,186,13,I
11,M. Thirukumaran,Independent,124,3,127,0.06,186,14,I
12,Dr. A. Parthasarathy,Independent,342,3,345,0.17,186,9,I
13,M. Ravi,Independent,175,0,175,0.09,186,12,I
14,Vimalraj,Independent,307,2,309,0.15,186,10,I
15,P. Viswanathan,Independent,1318,14,1332,0.66,186,6,I
16,NOTA,None of the Above,1258,12,1270,0.63,186,7,NOTA
1,Tamilarasi A.,Dravida Munnetra Kazhagam,87827,1537,89364,44.01,187,1,DMK
2,Nagarajan S.,All India Anna Dravida Munnetra Kazhagam,74433,840,75273,37.07,187,2,AIADMK
3,Shanmugapriya M.,Naam Tamilar Katchi,22916,312,23228,11.44,187,3,NTK
4,Chandrasekar M.,Anaithu Makkal Puratchi Katchi,226,3,229,0.11,187,8,AMPK
5,Sivasankari P.,Makkal Needhi Maiam,2219,38,2257,1.11,187,5,MNM
6,Mariappankennady S.,Amma Makkal Munnettra Kazagam,10074,157,10231,5.04,187,4,AMMK
7,Muralitharan M.,Anna MGR Dravida Makkal Kalgam,128,0,128,0.06,187,11,AMDMK
8,Rajendran A.,My India Party,104,7,111,0.05,187,13,MIP
9,Karuppaiah S.,Independent,83,1,84,0.04,187,14,I
10,Thamaraiselvi S.,Independent,140,2,142,0.07,187,10,I
11,Duraipandi M.,Independent,125,0,125,0.06,187,12,I
12,Muthumari K.,Independent,185,0,185,0.09,187,9,I
13,Rajaiah C.,Independent,369,2,371,0.18,187,7,I
14,NOTA,None of the Above,1318,15,1333,0.66,187,6,NOTA
1,RAVICHANDRAN T.,Indian National Congress,47727,455,48182,26.36,188,2,INC
2,PERIYAPULLAN @ SELVAM P.,All India Anna Dravida Munnetra Kazhagam,83126,218,83344,45.6,188,1,AIADMK
3,KATHIRESAN K.,Makkal Needhi Maiam,2161,15,2176,1.19,188,5,MNM
4,KARUPPUSAMY P.,Naam Tamilar Katchi,10606,63,10669,5.84,188,4,NTK
5,SENTHILRAJ K.,My India Party,270,0,270,0.15,188,12,MIP
6,SELVARAJ A.,Amma Makkal Munnettra Kazagam,34027,235,34262,18.74,188,3,AMMK
7,KANNAN P.,Independent,257,1,258,0.14,188,13,I
8,GOBALAKRISHNAN M.,Independent,350,0,350,0.19,188,9,I
9,SIVASAMY R.,Independent,109,1,110,0.06,188,15,I
10,DHARMAR P.,Independent,95,0,95,0.05,188,16,I
11,DHINAKARAN S.,Independent,274,0,274,0.15,188,11,I
12,NAGENDRAN N.,Independent,199,1,200,0.11,188,14,I
13,PANDI K.,Independent,736,0,736,0.4,188,7,I
14,BALAN T.,Independent,630,0,630,0.34,188,8,I
15,MOHANRAM C.,Independent,342,0,342,0.19,188,10,I
16,NOTA,None of the Above,875,9,884,0.48,188,6,NOTA
1,GOPALAKRISHNAN R,All India Anna Dravida Munnetra Kazhagam,72588,537,73125,30.74,189,2,AIADMK
2,MOORTHY P,Dravida Munnetra Kazhagam,120459,2270,122729,51.59,189,1,DMK
3,SARAVANAN T,Amma Makkal Munnettra Kazagam,6636,93,6729,2.83,189,5,AMMK
4,BALAMURUGAN A,Puthiya Tamilagam,1737,18,1755,0.74,189,7,PT
5,PRABAHARAN M,Bahujan Dravida Party,109,3,112,0.05,189,15,BDP
6,MUTHUKRISHNAN I,Makkal Needhi Maiam,11864,129,11993,5.04,189,4,MNM
7,MUTHU KRISHNAN M,Anaithu Makkal Puratchi Katchi,151,1,152,0.06,189,13,AMPK
8,MUSTAK MOHAMED.A.K,Tipu Sultan Party,306,2,308,0.13,189,10,TSP
9,RAJA P,My India Party,120,2,122,0.05,189,14,MIP
10,LATHA J,Naam Tamilar Katchi,17504,164,17668,7.43,189,3,NTK
11,GANDHI K,Independent,232,1,233,0.1,189,11,I
12,CHANDRASEKARAN V,Independent,345,1,346,0.15,189,9,I
13,DINESH G,Independent,95,0,95,0.04,189,16,I
14,PALANIAMMAL P,Independent,345,4,349,0.15,189,8,I
15,JEYAKUMAR P,Independent,231,1,232,0.1,189,12,I
16,NOTA,None of the Above,1923,21,1944,0.82,189,6,NOTA
1,MANICKAM K,All India Anna Dravida Munnetra Kazhagam,66792,403,67195,38.32,190,2,AIADMK
2,VENKATESAN A,Dravida Munnetra Kazhagam,83247,993,84240,48.04,190,1,DMK
3,JEYALAKSHMI M,Desiya Murpokku Dravida Kazhagam,3534,48,3582,2.04,190,4,DMDK
4,INDURANI S,Puthiya Tamilagam,248,2,250,0.14,190,10,PT
5,ESWARI T,Communist Party of India (Marxist-Leninist) (Liberation),121,4,125,0.07,190,14,CPI(M)(L)
6,SILAMBARASAN P,Bahujan Dravida Party,143,3,146,0.08,190,12,BDP
7,SENGANNAN G,Naam Tamilar Katchi,13783,153,13936,7.95,190,3,NTK
8,YOGANATHAN S,Makkal Needhi Maiam,3000,31,3031,1.73,190,5,MNM
9,RAJKUMAR K,My India Party,71,0,71,0.04,190,19,MIP
10,KATHIRESAN P,Independent,102,2,104,0.06,190,15,I
11,KANDAVEL S,Independent,292,2,294,0.17,190,9,I
12,KRISHNASAMY P,Independent,81,3,84,0.05,190,18,I
13,SEKAR N,Independent,70,0,70,0.04,190,20,I
14,DHANAGOPAL S,Independent,86,2,88,0.05,190,17,I
15,MALAICHAMY A,Independent,133,0,133,0.08,190,13,I
16,MOORTHY P,Independent,200,0,200,0.11,190,11,I
17,MOORTHI M,Independent,363,0,363,0.21,190,7,I
18,RAJKUMAR V,Independent,347,6,353,0.2,190,8,I
19,VARATHARAJAN C,Independent,89,0,89,0.05,190,16,I
20,VETRIVEL J,Independent,46,0,46,0.03,190,21,I
21,NOTA,None of the Above,946,15,961,0.55,190,6,NOTA
1,SARAVANAN P,Bharatiya Janata Party,49700,394,50094,32.0,191,2,BJP
2,THALAPATHI G,Dravida Munnetra Kazhagam,71949,1061,73010,46.64,191,1,DMK
3,ALAGAR M,Makkal Needhi Maiam,12019,83,12102,7.73,191,4,MNM
4,ANBARASI S,Naam Tamilar Katchi,15178,133,15311,9.78,191,3,NTK
5,VASANTHAKUMAR S,Anna Dravidar Kazhagam,167,0,167,0.11,191,8,ADK
6,VOLTAIRE M J,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),114,1,115,0.07,191,12,SUCOI(C)
7,JEYAPAL M,Amma Makkal Munnettra Kazagam,3235,45,3280,2.1,191,5,AMMK
8,ABUBAKKAR SITHICK J,Independent,138,1,139,0.09,191,10,I
9,RAAM VISHWAKARMA T,Independent,93,1,94,0.06,191,14,I
10,ISMAIL D,Independent,105,0,105,0.07,191,13,I
11,KUPPUSAMY N,Independent,49,0,49,0.03,191,16,I
12,KESAVARAJAH J,Independent,69,1,70,0.04,191,15,I
13,SANKARAPANDI P,Independent,161,2,163,0.1,191,9,I
14,THEIVAMMAL K,Independent,124,1,125,0.08,191,11,I
15,NATARAJAN R,Independent,167,1,168,0.11,191,7,I
16,NOTA,None of the Above,1548,16,1564,1.0,191,6,NOTA
1,SARAVANAN. S.S,All India Anna Dravida Munnetra Kazhagam,56005,292,56297,38.08,192,2,AIADMK
2,BOOMINATHAN.M,Dravida Munnetra Kazhagam,62284,528,62812,42.49,192,1,DMK
3,ABBAS.M,Naam Tamilar Katchi,10430,53,10483,7.09,192,4,NTK
4,ESWARAN.G,Makkal Needhi Maiam,12773,48,12821,8.67,192,3,MNM
5,SADAM HUSSAIN.K,My India Party,104,0,104,0.07,192,13,MIP
6,BHARATHI KANNAMMA. S,New Generation People’s Party,140,0,140,0.09,192,11,NGPP
7,RAAJALINGAM.SHA,Amma Makkal Munnettra Kazagam,2662,10,2672,1.81,192,5,AMMK
8,UMESH.K.R,Independent,81,0,81,0.05,192,14,I
9,SARAVANAN.R,Independent,254,3,257,0.17,192,7,I
10,RAVICHANDRAN.V.C,Independent,116,0,116,0.08,192,12,I
11,RAJKUMAR(a)MANIKANDAN.K,Independent,162,0,162,0.11,192,9,I
12,VENGADACHALAPATHY.T.S,Independent,158,1,159,0.11,192,10,I
13,JEYA.K,Independent,175,3,178,0.12,192,8,I
14,NOTA,None of the Above,1532,19,1551,1.05,192,6,NOTA
1,THAVAMANI A,Bahujan Samaj Party,283,3,286,0.19,193,10,BSP
2,PALANIVEL THIAGA RAJAN,Dravida Munnetra Kazhagam,72231,974,73205,48.99,193,1,DMK
3,JOTHI MUTHURAMALINGAM N,All India Anna Dravida Munnetra Kazhagam,38834,195,39029,26.12,193,2,AIADMK
4,ESWARI M,My India Party,285,2,287,0.19,193,9,MIP
5,SIKKANDAR BATCHA G S,SOCIAL DEMOCRATIC PARTY OF INDIA,3327,20,3347,2.24,193,6,SDPOI
6,PANDIAMMAL J,Naam Tamilar Katchi,11156,59,11215,7.51,193,4,NTK
7,MANI B,Makkal Needhi Maiam,14437,58,14495,9.7,193,3,MNM
8,RAJAKUMAR NAIDU E V S,Tamil Telugu National Party,175,1,176,0.12,193,13,TTNP
9,ELANGOVAN R,Independent,264,0,264,0.18,193,11,I
10,KREMMER SURESH,Independent,4880,27,4907,3.28,193,5,I
11,KRISHNAPRABBU M R,Independent,437,3,440,0.29,193,8,I
12,SATHIYENDRAN N,Independent,51,0,51,0.03,193,15,I
13,SIVASANKAR S,Independent,94,0,94,0.06,193,14,I
14,RAJASURIYAA K R,Independent,192,1,193,0.13,193,12,I
15,NOTA,None of the Above,1432,9,1441,0.96,193,7,NOTA
1,CHINNAMMAL. C,Dravida Munnetra Kazhagam,73463,1299,74762,37.07,194,2,DMK
2,BALACHANDRAN. P,Desiya Murpokku Dravida Kazhagam,3384,33,3417,1.69,194,5,DMDK
3,RAJU. K,All India Anna Dravida Munnetra Kazhagam,83586,297,83883,41.59,194,1,AIADMK
4,KARTHIKEYAN. R,Akhil Bharat Hindu Mahasabha,315,3,318,0.16,194,9,ABHM
5,SULTHAN BADUSHA. J,Anna MGR Dravida Makkal Kalgam,79,0,79,0.04,194,13,AMDMK
6,NAGAJOTHI. K,Tamil Nadu Ilangyar Katchi,2483,26,2509,1.24,194,6,TNIK
7,MUNIYASAMY. V,Makkal Needhi Maiam,15749,100,15849,7.86,194,4,MNM
8,VETRIKUMARAN. C,Naam Tamilar Katchi,18133,91,18224,9.04,194,3,NTK
9,ARASU THIRUVALAVAN. K. K,Independent,96,1,97,0.05,194,12,I
10,ANBUMANIKANDANTAMILSOORIYAN.K,Independent,73,0,73,0.04,194,14,I
11,SULTHAN BASHA. K,Independent,43,1,44,0.02,194,16,I
12,SEBASTHIYAN. B,Independent,49,0,49,0.02,194,15,I
13,PREMKUMAR. M,Independent,122,0,122,0.06,194,11,I
14,RAMU. N,Independent,368,0,368,0.18,194,8,I
15,VENKATESAN. M,Independent,126,0,126,0.06,194,10,I
16,NOTA,None of the Above,1757,17,1774,0.88,194,7,NOTA
1,PONNUTHAI,Communist Party of India (Marxist),73032,1162,74194,31.46,195,2,CPI(M)
2,"RAJANCHELLAPPA, V.V.",All India Anna Dravida Munnetra Kazhagam,103059,624,103683,43.96,195,1,AIADMK
3,"SAVITHA, R.",Anna MGR Dravida Makkal Kalgam,591,1,592,0.25,195,8,AMDMK
4,"DAVID ANNADURAI, K.",Amma Makkal Munnettra Kazagam,10120,70,10190,4.32,195,5,AMMK
5,"BHARANIRAJAN, M.",Makkal Needhi Maiam,16662,88,16750,7.1,195,4,MNM
6,"PALANIKUMAR, M.",Ambedkar Political Party,173,4,177,0.08,195,17,APP
7,"MURUGESAN, A.",My India Party,131,0,131,0.06,195,18,MIP
8,"RAJAMANI, V.",Namadhu Makkal Katchi,537,1,538,0.23,195,10,NMK
9,"REVATHY, R.",Naam Tamilar Katchi,22582,140,22722,9.63,195,3,NTK
10,"ARUMUGAM, V.",Independent,2002,3,2005,0.85,195,7,I
11,"ILANGOVAN, P.",Independent,114,0,114,0.05,195,19,I
12,"UKKRA PANDIYAN, S.",Independent,301,1,302,0.13,195,12,I
13,"KARUNAKARAN, M.",Independent,246,0,246,0.1,195,15,I
14,"SANKAR THAYAL SHARMA, M.",Independent,80,0,80,0.03,195,23,I
15,"SEKAR, S.",Independent,200,0,200,0.08,195,16,I
16,"PACKIYASELVI, K.",Independent,401,1,402,0.17,195,11,I
17,"BALAMURUGAN, R.",Independent,256,1,257,0.11,195,14,I
18,"PILLAI, M.M.",Independent,283,1,284,0.12,195,13,I
19,"MANIKANDAN, S.",Independent,81,1,82,0.03,195,22,I
20,"MOHIDEEN ABDUL KADAR, M.K.",Independent,98,0,98,0.04,195,21,I
21,"MURUGAN, K.R.",Independent,555,7,562,0.24,195,9,I
22,"RADHA (A) GUNASEKARAN, M.",Independent,114,0,114,0.05,195,19,I
23,"RAMACHANDRAN, K.",Independent,52,1,53,0.02,195,24,I
24,NOTA,None of the Above,2039,34,2073,0.88,195,6,NOTA
1,UDHAYAKUMAR R B,All India Anna Dravida Munnetra Kazhagam,99294,1044,100338,45.51,196,1,AIADMK
2,MANIMARAN M,Dravida Munnetra Kazhagam,84381,1870,86251,39.12,196,2,DMK
3,ATHI NARAYANAN K,Amma Makkal Munnettra Kazagam,13554,226,13780,6.25,196,3,AMMK
4,ARUMUGAM K,Lok Jan Shakti Party,119,3,122,0.06,196,15,LJSP
5,SARAL M,Naam Tamilar Katchi,11375,218,11593,5.26,196,4,NTK
6,NIRMAL M,My India Party,119,3,122,0.06,196,15,MIP
7,MARIKANNAN A,National Democratic Party of South India,95,3,98,0.04,196,17,NDPSI
8,RAMKUMAR M,Makkal Needhi Maiam,2748,27,2775,1.26,196,5,MNM
9,ALAGARSAMY M,Independent,71,0,71,0.03,196,20,I
10,KALI A,Independent,44,1,45,0.02,196,23,I
11,CHANDRASEKARAN R,Independent,42,2,44,0.02,196,24,I
12,THIRALIPANDI N,Independent,78,4,82,0.04,196,18,I
13,DURAIPANDI B,Independent,61,1,62,0.03,196,22,I
14,BALAMURUGAN N R,Independent,129,2,131,0.06,196,14,I
15,MUTHURAJA M,Independent,187,3,190,0.09,196,12,I
16,MUTHUVELRAJ P,Independent,501,2,503,0.23,196,9,I
17,RAMANATHAN A,Independent,683,1,684,0.31,196,8,I
18,RAMANATHAN M,Independent,433,0,433,0.2,196,10,I
19,RAMAMOORTHI R,Independent,163,2,165,0.07,196,13,I
20,RAJANBABU P,Independent,276,2,278,0.13,196,11,I
21,VEERANAN S,Independent,1566,10,1576,0.71,196,6,I
22,VEERAMANI V,Independent,41,1,42,0.02,196,25,I
23,VAIRASEEMAN G,Independent,64,0,64,0.03,196,21,I
24,JEGADEESH KUMAR R,Independent,74,1,75,0.03,196,19,I
25,NOTA,None of the Above,958,13,971,0.44,196,7,NOTA
1,AYYAPPAN P,All India Anna Dravida Munnetra Kazhagam,70780,475,71255,33.53,197,1,AIADMK
2,KATHIRAVAN P V,Dravida Munnetra Kazhagam,62877,901,63778,30.01,197,2,DMK
3,ARASUMAYAN M,All India Jananayaka Makkal Kazhagam,961,6,967,0.46,197,8,AIJMK
4,IYNDHUKOVILAN G,Naam Tamilar Katchi,15089,268,15357,7.23,197,4,NTK
5,THIRUSELVAM C,Puthiya Tamilagam,1149,12,1161,0.55,197,6,PT
6,BHARATH V,My India Party,372,6,378,0.18,197,11,MIP
7,MAHENDRAN I,Amma Makkal Munnettra Kazagam,54758,733,55491,26.11,197,3,AMMK
8,ARUNKUMAR M,Independent,359,3,362,0.17,197,12,I
9,ALAGUMURUGESAN K,Independent,155,3,158,0.07,197,14,I
10,ARUMUGAM K,Independent,1238,9,1247,0.59,197,5,I
11,ANANTHA KUMAR N,Independent,69,5,74,0.03,197,15,I
12,KATHIRAVAN A,Independent,523,5,528,0.25,197,9,I
13,Dhanasekaran T,Independent,477,1,478,0.22,197,10,I
14,MAHENDRAN A,Independent,247,0,247,0.12,197,13,I
15,NOTA,None of the Above,1015,17,1032,0.49,197,7,NOTA
1,S.KAMATCHI,Bahujan Samaj Party,387,5,392,0.19,198,10,BSP
2,A.MAHARAJAN,Dravida Munnetra Kazhagam,92057,1484,93541,44.64,198,1,DMK
3,A.LOGIRAJAN,All India Anna Dravida Munnetra Kazhagam,84542,461,85003,40.57,198,2,AIADMK
4,C.KANIVEL,Anaithu Makkal Puratchi Katchi,650,0,650,0.31,198,7,AMPK
5,S.GUNASEKARAN,Makkal Needhi Maiam,2958,52,3010,1.44,198,5,MNM
6,M.KUMARAN,My India Party,105,4,109,0.05,198,20,MIP
7,S.GOVINDHARAJ,All India MGR Makkal Munnetra Kazhagam,112,3,115,0.05,198,18,AIMMMK
8,BALAMURUGAN,National Democratic Party of South India,122,5,127,0.06,198,15,NDPSI
9,A.VELUCHAMY,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,114,1,115,0.05,198,18,APTADMK
10,JEYAKUMAR,Naam Tamilar Katchi,11034,182,11216,5.35,198,4,NTK
11,R.JEYAKUMAR,Amma Makkal Munnettra Kazagam,11746,150,11896,5.68,198,3,AMMK
12,M.EASWARAN,Independent,125,2,127,0.06,198,15,I
13,K.KASENDRAN @ GAJENDRAN,Independent,84,1,85,0.04,198,21,I
14,M.DIVAKAR,Independent,115,0,115,0.05,198,18,I
15,P.PANIVURAJA,Independent,155,1,156,0.07,198,12,I
16,P.PANDIDURAI,Independent,226,1,227,0.11,198,11,I
17,MARIYAMMAL,Independent,148,1,149,0.07,198,13,I
18,M.RAGHUNATHAN,Independent,457,0,457,0.22,198,9,I
19,VELMANI,Independent,566,6,572,0.27,198,8,I
20,V.JEYAKODI,Independent,141,4,145,0.07,198,14,I
21,NOTA,None of the Above,1308,25,1333,0.64,198,6,NOTA
1,K.S.SARAVANAKUMAAR,Dravida Munnetra Kazhagam,90360,1891,92251,45.71,199,1,DMK
2,M Murugan,All India Anna Dravida Munnetra Kazhagam,70444,486,70930,35.15,199,2,AIADMK
3,Dr.K.Kathirkamu,Amma Makkal Munnettra Kazagam,16317,107,16424,8.14,199,3,AMMK
4,S.Chinnamuthu,My India Party,299,2,301,0.15,199,9,MIP
5,S.PANDIYARAJAN,Makkal Needhi Maiam,5626,54,5680,2.81,199,5,MNM
6,A.Murugesan,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),201,1,202,0.1,199,11,SUCOI(C)
7,Vimala,Naam Tamilar Katchi,11660,134,11794,5.84,199,4,NTK
8,MADHU BHARATHI,Independent,622,6,628,0.31,199,7,I
9,C.MAYAZHAKU,Independent,56,1,57,0.03,199,16,I
10,MURUGAN,Independent,335,4,339,0.17,199,8,I
11,M.Muniyappan,Independent,94,0,94,0.05,199,15,I
12,M.Muneeswaran,Independent,143,0,143,0.07,199,13,I
13,"A.C.MOHAN RAJ B.P.T.,",Independent,148,1,149,0.07,199,12,I
14,P.RAMAIYA,Independent,112,0,112,0.06,199,14,I
15,M.RAJENDRAN,Independent,240,5,245,0.12,199,10,I
16,NOTA,None of the Above,2411,37,2448,1.21,199,6,NOTA
1,THANGATAMILSELVAN,Dravida Munnetra Kazhagam,87142,1887,89029,41.45,200,2,DMK
2,O.PANNEERSELVAM,All India Anna Dravida Munnetra Kazhagam,99296,754,100050,46.58,200,1,AIADMK
3,K.I.M HAKKEEM,All India Trinamool Congress,552,7,559,0.26,200,7,AITC
4,ARUN KUMAR,My India Party,139,4,143,0.07,200,13,MIP
5,P.GANESH KUMAR,Makkal Needhi Maiam,4069,59,4128,1.92,200,5,MNM
6,P.KARUPPIAH,Bahujan Dravida Party,77,0,77,0.04,200,20,BDP
7,THENI.T.KARNAN,Anna Dravidar Kazhagam,80,0,80,0.04,200,19,ADK
