O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,AC_NO,Position,Party Code
4,MOFAKKERUL ISLAM,All India Majlis-E-Ittehadul Muslimeen,828,3,831,0.43,36,6,AIMM
5,TUFAN BARMAN,Independent,185,4,189,0.1,36,8,I
6,DILIP KUMAR BARMAN,Independent,131,2,133,0.07,36,9,I
7,FIROJ ALAM,Independent,344,2,346,0.18,36,7,I
8,MOJAMMEL HAQUE,Independent,1024,0,1024,0.53,36,5,I
9,NOTA,None of the Above,1239,1,1240,0.64,36,4,NOTA
1,NARMADA CHANDRA ROY,Revolutionary Socialist Party,12386,185,12571,6.83,37,3,RSP
2,BISWANATH SARKAR,Bahujan Samaj Party,1428,8,1436,0.78,37,5,BSP
3,RANJIT KUMAR ROY,Bharatiya Janata Party,76650,734,77384,42.04,37,2,BJP
4,REKHA ROY,All India Trinamool Congress,89185,783,89968,48.88,37,1,AITC
5,BHIMNAL SARKAR,Independent,1118,0,1118,0.61,37,6,I
6,NOTA,None of the Above,1590,8,1598,0.87,37,4,NOTA
1,CHAUDHURI NARGIS BANU,Indian National Congress,17344,134,17478,10.23,38,3,INC
2,TORAF HOSSAIN MANDAL,All India Trinamool Congress,89117,646,89763,52.52,38,1,AITC
3,Manas Sarkar,Bharatiya Janata Party,59736,660,60396,35.33,38,2,BJP
4,RANAJIT DEB,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1211,4,1215,0.71,38,4,SUCOI(C)
5,RUBEL SARKAR,Kamatapur People’s Party (United),946,5,951,0.56,38,6,KPP(U)
6,NOTA,None of the Above,1115,10,1125,0.66,38,5,NOTA
1,Ashok Kumar Lahiri,Bharatiya Janata Party,70484,1645,72129,47.42,39,1,BJP
2,Jogesh Chandra Murmu,Bahujan Samaj Party,1138,3,1141,0.75,39,5,BSP
3,Sekhar Dasgupta,All India Trinamool Congress,57885,808,58693,38.59,39,2,AITC
4,Sucheta Biswas,Revolutionary Socialist Party,15706,447,16153,10.62,39,3,RSP
5,Anup Barman,Kamatapur People’s Party (United),353,0,353,0.23,39,9,KPP(U)
6,Dulal Barman,Bahujan Mukti Party,377,2,379,0.25,39,8,BMP
7,Narottam Saha,Amra Bangalee,808,2,810,0.53,39,6,AB
8,BIRENDRA NATH MAHANTA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),596,8,604,0.4,39,7,SUCOI(C)
9,NOTA,None of the Above,1810,20,1830,1.2,39,4,NOTA
1,RAGHU UROW,Revolutionary Socialist Party,11847,241,12088,6.49,40,3,RSP
2,KALPANA KISKU,All India Trinamool Congress,81939,792,82731,44.41,40,2,AITC
3,BABLU KISKU,Bahujan Samaj Party,2142,4,2146,1.15,40,4,BSP
4,BUDHRAI TUDU,Bharatiya Janata Party,83172,1209,84381,45.29,40,1,BJP
5,ALBINUS HASDA,Bahujan Mukti Party,1311,4,1315,0.71,40,6,BMP
6,KALICHARAN EKKA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),816,4,820,0.44,40,8,SUCOI(C)
7,NIPESH TIRKI,Kamatapur People’s Party (United),1123,2,1125,0.6,40,7,KPP(U)
8,NOTA,None of the Above,1675,28,1703,0.91,40,5,NOTA
1,ARUN KANTI BALA,Bahujan Samaj Party,1166,3,1169,0.62,41,4,BSP
2,GOUTAM DAS,All India Trinamool Congress,83281,851,84132,44.4,41,2,AITC
3,NANDA LAL HAZRA,Communist Party of India (Marxist),11935,338,12273,6.48,41,3,CPI(M)
4,SATYENDRA NATH RAY,Bharatiya Janata Party,87561,1163,88724,46.82,41,1,BJP
5,AKSHAY SARKAR,Kamatapur People’s Party (United),1139,6,1145,0.6,41,6,KPP(U)
6,SUBRATA ROY,Communist Party of India (Marxist-Leninist) Red Star,889,1,890,0.47,41,7,CPI(M)RS
7,NOTA,None of the Above,1135,14,1149,0.61,41,5,NOTA
1,NILANJAN ROY,Bharatiya Janata Party,72793,666,73459,39.15,42,2,BJP
2,BIPLAB MITRA,All India Trinamool Congress,95432,699,96131,51.23,42,1,AITC
3,RAFIKUL ISLAM,Communist Party of India (Marxist),12268,176,12444,6.63,42,3,CPI(M)
4,SHANKAR MARDI,Bahujan Mukti Party,569,2,571,0.3,42,7,BMP
5,HARISH MAHATO,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),277,1,278,0.15,42,9,SUCOI(C)
6,JALALUDDIN AHMED,Independent,333,0,333,0.18,42,8,I
7,PRADIP KUMAR PRAMANIK,Independent,769,3,772,0.41,42,6,I
8,BIJAN CHAKRABORTY,Independent,1829,2,1831,0.98,42,4,I
9,NOTA,None of the Above,1818,5,1823,0.97,42,5,NOTA
1,JOYEL MURMU,Bharatiya Janata Party,92982,1093,94075,47.52,43,1,BJP
2,THAKUR TUDU,Communist Party of India (Marxist),13649,156,13805,6.97,43,3,CPI(M)
3,PRODIP BASKEY,All India Trinamool Congress,73956,602,74558,37.66,43,2,AITC
4,SHRINATH TUDU,Bahujan Samaj Party,1658,9,1667,0.84,43,8,BSP
5,PRATAP KORAMUDI,Ambedkarite Party of India,1879,8,1887,0.95,43,6,API
6,BABURAM KISKU,Bahujan Mukti Party,5878,18,5896,2.98,43,4,BMP
7,BISWANATH MARDI,Kamatapur People’s Party (United),742,5,747,0.38,43,10,KPP(U)
8,NIRMAL SOREN,Independent,655,6,661,0.33,43,11,I
9,PROVAT KISKU,Independent,1696,5,1701,0.86,43,7,I
10,MURMU JOY,Independent,829,1,830,0.42,43,9,I
11,NOTA,None of the Above,2145,17,2162,1.09,43,5,NOTA
1,ARUN KUMAR BISWAS,Communist Party of India (Marxist),13796,154,13950,6.31,44,3,CPI(M)
2,CHINMOY DEB BARMAN,Bharatiya Janata Party,99773,882,100655,45.5,44,1,BJP
3,BASANTI BARMAN,All India Trinamool Congress,98267,590,98857,44.69,44,2,AITC
4,SANATAN RISHI,Bahujan Samaj Party,1935,8,1943,0.88,44,4,BSP
5,BIPAD BHANJAN ROY,Bahujan Mukti Party,822,2,824,0.37,44,8,BMP
6,Minu Sarkar (Barman),Kamatapur People’s Party (United),741,0,741,0.33,44,9,KPP(U)
7,SUPEN KUMAR ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1380,1,1381,0.62,44,6,SUCOI(C)
8,SATISH RAJBANSHI,Independent,1127,0,1127,0.51,44,7,I
9,NOTA,None of the Above,1728,8,1736,0.78,44,5,NOTA
1,Asif Mehbub,Indian National Congress,31107,239,31346,15.7,45,3,INC
2,Younish Mia,Bahujan Samaj Party,1049,1,1050,0.53,45,5,BSP
3,Dipankar Ram (Bankat),Bharatiya Janata Party,48240,388,48628,24.35,45,2,BJP
4,Nihar Ranjan Ghosh,All India Trinamool Congress,115467,499,115966,58.08,45,1,AITC
5,Jhantu Kumar Rabidas,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1213,1,1214,0.61,45,4,SUCOI(C)
6,Bhakta Prasad Saha,Independent,452,0,452,0.23,45,7,I
7,NOTA,None of the Above,1018,5,1023,0.51,45,6,NOTA
1,ALAM MD RAFIQUL,All India Forward Bloc,1272,13,1285,0.63,46,6,AIFB
2,ALAM MOSTAQUE,Indian National Congress,29179,217,29396,14.47,46,3,INC
3,TAJMUL HOSSAIN,All India Trinamool Congress,121850,677,122527,60.31,46,1,AITC
4,MD. MATIBUR RAHAMAN,Bharatiya Janata Party,44841,213,45054,22.18,46,2,BJP
5,RAM BILAS MANDAL,Bahujan Samaj Party,1304,1,1305,0.64,46,5,BSP
6,MUSARAF HOSSAIN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),629,0,629,0.31,46,8,SUCOI(C)
7,MD OLIUR RAHAMAN,Independent,1473,0,1473,0.73,46,4,I
8,SUBRATA DAS,Independent,472,0,472,0.23,46,9,I
9,NOTA,None of the Above,1008,4,1012,0.5,46,7,NOTA
1,ABDUR RAHIM BOXI,All India Trinamool Congress,125654,503,126157,68.02,47,1,AITC
2,ALBERUNI ZULKARNAIN,Indian National Congress,19697,130,19827,10.69,47,3,INC
3,MD. KAMRUL HODA,Bahujan Samaj Party,1021,2,1023,0.55,47,6,BSP
4,MOUSUMI DAS,Bharatiya Janata Party,33990,218,34208,18.44,47,2,BJP
5,GOLAM FARUQUE,Bahujan Mukti Party,591,1,592,0.32,47,7,BMP
6,MOTIUR RAHAMAN,All India Majlis-E-Ittehadul Muslimeen,1642,1,1643,0.89,47,5,AIMM
7,NOTA,None of the Above,2032,2,2034,1.1,47,4,NOTA
1,Abishek Singhania,Bharatiya Janata Party,54326,698,55024,25.11,48,2,BJP
2,Khatun Najema,Indian National Congress,15997,176,16173,7.38,48,3,INC
3,Chaitanya Rabidas,Bahujan Samaj Party,1680,2,1682,0.77,48,7,BSP
4,Samar Mukherjee,All India Trinamool Congress,129805,869,130674,59.63,48,1,AITC
5,Arafat Ali,Welfare Party Of India,2097,5,2102,0.96,48,5,WPOI
6,Ashok Chowdhury,Independent,1383,4,1387,0.63,48,8,I
7,Payel Khatun,Independent,8596,32,8628,3.94,48,4,I
8,Sabina Easmin,Independent,856,0,856,0.39,48,9,I
9,Sk Israil,Independent,570,1,571,0.26,48,10,I
10,NOTA,None of the Above,2047,4,2051,0.94,48,6,NOTA
1,ALAM MOTTAKIN,Indian National Congress,11403,152,11555,5.58,49,3,INC
2,GOUR CHANDRA MANDAL,Bharatiya Janata Party,75415,941,76356,36.89,49,2,BJP
3,CHANCHALA KARMAKAR,Bahujan Samaj Party,1737,3,1740,0.84,49,5,BSP
4,SABITRI MITRA,All India Trinamool Congress,109085,1149,110234,53.26,49,1,AITC
5,AMAL KUMAR RABIDAS,Bahujan Mukti Party,1517,2,1519,0.73,49,6,BMP
6,ANIL CH. MANDAL,Independent,2735,8,2743,1.33,49,4,I
7,DALIM MANDAL,Independent,649,2,651,0.31,49,9,I
8,SUMITRA DAS,Independent,824,2,826,0.4,49,8,I
9,NOTA,None of the Above,1360,7,1367,0.66,49,7,NOTA
1,Ujjwal Kumar Chowdhury,All India Trinamool Congress,77152,790,77942,37.75,50,2,AITC
2,Gopal Chandra Saha,Bharatiya Janata Party,92364,1034,93398,45.23,50,1,BJP
3,Bhupendra Nath Halder (Arjun),Indian National Congress,26192,371,26563,12.86,50,3,INC
4,Mukul Sarkar,Bahujan Samaj Party,1238,2,1240,0.6,50,7,BSP
5,Santosh Kumar Sarkar,Bahujan Mukti Party,1464,5,1469,0.71,50,6,BMP
6,Mirana Sarkar,Independent,930,1,931,0.45,50,8,I
7,Sujit Kumar Moulik,Independent,2124,4,2128,1.03,50,5,I
8,NOTA,None of the Above,2804,14,2818,1.36,50,4,NOTA
1,KRISHNENDU NARAYAN CHOUDHURY,All India Trinamool Congress,86163,1493,87656,40.64,51,2,AITC
2,KOUSHIK MISRA(SAHEB),Communist Party of India (Marxist),10377,576,10953,5.08,51,3,CPI(M)
3,SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),Bharatiya Janata Party,105422,2333,107755,49.96,51,1,BJP
4,SURESH CHANDRA SARKAR,Bahujan Samaj Party,1024,15,1039,0.48,51,8,BSP
5,UMA DAS (PAUL),Janata Dal (United),273,2,275,0.13,51,10,JD(U)
6,GAUTAM SARKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),266,1,267,0.12,51,11,SUCOI(C)
7,FIROZ AKHTAR,Bahujan Mukti Party,197,4,201,0.09,51,12,BMP
8,ADITYA PRAKASH DASGUPTA,Independent,358,2,360,0.17,51,9,I
9,NARESH PAL,Independent,1125,4,1129,0.52,51,6,I
10,MD. ANISUR RAHAMAN,Independent,1786,1,1787,0.83,51,5,I
11,SATISH RAJBANSHI,Independent,1056,1,1057,0.49,51,7,I
12,NOTA,None of the Above,3168,28,3196,1.48,51,4,NOTA
1,YEASMIN SABINA,All India Trinamool Congress,96392,1005,97397,59.7,52,1,AITC
2,DULAL SK,Indian National Congress,16655,248,16903,10.36,52,3,INC
3,SHYAMCHAND GHOSH,Bharatiya Janata Party,40436,388,40824,25.02,52,2,BJP
4,MST AKTARI KHATUN,Kamatapur People’s Party (United),556,0,556,0.34,52,7,KPP(U)
5,MD. ALI KALIMULLAH (NUR HOQUE),Rashtriya Secular Majlis Party,3581,4,3585,2.2,52,4,RSMP
6,MD EBRAHIM,Communist Party of India (Marxist-Leninist) (Liberation),299,1,300,0.18,52,9,CPI(M)(L)
7,MD FARUQUE HOSSAIN(SAHITYARATNA),Indian Union Muslim League,194,1,195,0.12,52,10,IUML
8,RAMCHANDRA CHOWDHURI,Independent,182,1,183,0.11,52,11,I
9,SAIDUR RAHAMAN,Independent,495,0,495,0.3,52,8,I
10,SUBODH SARKAR,Independent,565,1,566,0.35,52,6,I
11,NOTA,None of the Above,2139,0,2139,1.31,52,5,NOTA
1,Isha Khan Choudhury,Indian National Congress,22042,240,22282,10.73,53,2,INC
2,Md Abdul Ghani,All India Trinamool Congress,151658,787,152445,73.44,53,1,AITC
3,Rafiqul Islam,Bahujan Samaj Party,1458,3,1461,0.7,53,7,BSP
4,Sk Ziauddin,Bharatiya Janata Party,14655,134,14789,7.12,53,3,BJP
5,Nasmul Hoque,Party for Democratic Socialism,546,0,546,0.26,53,8,PFDS
6,Md. Nur Islam Sekh,Rashtriya Secular Majlis Party,11162,11,11173,5.38,53,4,RSMP
7,Md Monirul Hasan,Jamat-E-Seratul Mustakim,241,0,241,0.12,53,11,JM
8,Manjur Alahi Munshi,Independent,452,2,454,0.22,53,9,I
9,Md. Saidul Hoque,Independent,352,0,352,0.17,53,10,I
10,Md. Rahim Biswas,Independent,2321,0,2321,1.12,53,5,I
11,NOTA,None of the Above,1522,5,1527,0.74,53,6,NOTA
1,AZIZUL HOQUE,Indian National Congress,37201,242,37443,17.95,54,3,INC
2,CHANDANA SARKAR,All India Trinamool Congress,82593,468,83061,39.81,54,1,AITC
3,NIKHIL CHANDRA MANDAL,Bahujan Samaj Party,2280,2,2282,1.09,54,4,BSP
4,SWADHIN KUMAR SARKAR,Bharatiya Janata Party,80094,496,80590,38.62,54,2,BJP
5,KURBAN ANSARI,Independent,1247,0,1247,0.6,54,7,I
6,SAMIR GHOSH,Independent,978,0,978,0.47,54,8,I
7,HARENDRANATH SARKAR,Independent,1344,2,1346,0.65,54,6,I
8,NOTA,None of the Above,1704,1,1705,0.82,54,5,NOTA
1,GHOSH HEMANTA,Bharatiya Janata Party,42173,201,42374,22.73,55,2,BJP
2,MAINUL HAQUE,Indian National Congress,35932,273,36205,19.42,55,3,INC
3,MANIRUL ISLAM,All India Trinamool Congress,102039,280,102319,54.89,55,1,AITC
4,MD MERAJ SORIF,Rashtriya Secular Majlis Party,1559,0,1559,0.84,55,6,RSMP
5,ANUP KUMAR SINHA,Independent,1646,1,1647,0.88,55,4,I
6,KANAI GHOSH,Independent,681,1,682,0.37,55,7,I
7,NOTA,None of the Above,1638,0,1638,0.88,55,5,NOTA
1,EMANI BISWAS,All India Trinamool Congress,126755,596,127351,58.87,57,1,AITC
2,KOUSHIK DAS,Bharatiya Janata Party,56389,261,56650,26.19,57,2,BJP
3,HUMAYUN REZA,Indian National Congress,18668,92,18760,8.67,57,3,INC
4,ANUP SINGHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),842,9,851,0.39,57,7,SUCOI(C)
5,MAHFUJUR RAHAMAN,Welfare Party Of India,515,1,516,0.24,57,8,WPOI
6,ENAMUL HAQUE,Independent,482,0,482,0.22,57,9,I
7,MAIDUL ISLAM,Independent,7995,11,8006,3.7,57,4,I
8,MD. HASAN JAHANGIR,Independent,988,0,988,0.46,57,6,I
9,NOTA,None of the Above,2723,1,2724,1.26,57,5,NOTA
1,Akhruzzaman,All India Trinamool Congress,126467,367,126834,66.59,59,1,AITC
2,Abul Kashem Biswas,Indian National Congress,12737,62,12799,6.72,59,4,INC
3,Golam Modaswer,Bharatiya Janata Party,28415,106,28521,14.97,59,2,BJP
4,Md. Jakir Hossain,SOCIAL DEMOCRATIC PARTY OF INDIA,1354,7,1361,0.71,59,6,SDPOI
5,Rabiul Alam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),911,2,913,0.48,59,7,SUCOI(C)
6,M A Hannan,Welfare Party Of India,865,3,868,0.46,59,8,WPOI
7,Nasir Saikh,Independent,16222,22,16244,8.53,59,3,I
8,NOTA,None of the Above,2935,3,2938,1.54,59,5,NOTA
1,KHATUN MAFUJA,Bharatiya Janata Party,44692,291,44983,24.08,60,2,BJP
2,DHANANJAY BANERJEE,Bahujan Samaj Party,978,3,981,0.53,60,8,BSP
3,SUBRATA SAHA,All India Trinamool Congress,94880,309,95189,50.95,60,1,AITC
4,SK M HASANUZZAMAN (BAPPA),Indian National Congress,36055,289,36344,19.45,60,3,INC
5,ABDUT TAWAB,SOCIAL DEMOCRATIC PARTY OF INDIA,1278,2,1280,0.69,60,7,SDPOI
6,NURE MAHABOOB ALAM,All India Majlis-E-Ittehadul Muslimeen,3449,1,3450,1.85,60,4,AIMM
7,MIRZA LUTFUL HOQUE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),694,4,698,0.37,60,9,SUCOI(C)
8,SUPAL MURMU,Bahujan Mukti Party,1654,2,1656,0.89,60,6,BMP
9,SANTA BHATTACHERJEE,Independent,527,3,530,0.28,60,10,I
10,NOTA,None of the Above,1705,0,1705,0.91,60,5,NOTA
1,ABU HENA,Indian National Congress,46891,262,47153,24.76,61,2,INC
2,ALI MOHAMMAD,All India Trinamool Congress,107703,157,107860,56.64,61,1,AITC
3,KALPANA GHOSH,Bharatiya Janata Party,29340,124,29464,15.47,61,3,BJP
4,BHARAT CHANDRA BISWAS,Bahujan Samaj Party,850,2,852,0.45,61,7,BSP
5,KAKALI DEBNATH,Lok Jan Shakti Party,417,0,417,0.22,61,9,LJSP
6,NAJIMA KAYAL,SOCIAL DEMOCRATIC PARTY OF INDIA,953,1,954,0.5,61,6,SDPOI
7,MUNTASIR ZAMIL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),652,1,653,0.34,61,8,SUCOI(C)
8,ABHIJIT HALDAR,Independent,1691,0,1691,0.89,61,4,I
9,NOTA,None of the Above,1391,3,1394,0.73,61,5,NOTA
1,IDRIS ALI,All India Trinamool Congress,153430,365,153795,68.05,62,1,AITC
2,Mehebub Alam,Bharatiya Janata Party,16652,55,16707,7.39,62,3,BJP
3,MD. KAMAL HOSSAIN,Communist Party of India (Marxist),47512,275,47787,21.15,62,2,CPI(M)
4,SEIKH RABIUL ALAM,Bahujan Samaj Party,783,1,784,0.35,62,6,BSP
5,ABDUL MABUD NAYAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),447,2,449,0.2,62,9,SUCOI(C)
6,ALI HOSSAIN,United Socialist Party,265,0,265,0.12,62,12,USP
7,REJAUL KARIM SK,Indian Union Muslim League,614,3,617,0.27,62,8,IUML
8,MST. SIKHA KHATUN,Bahujan Maha Party,421,0,421,0.19,62,10,BMP
9,MD. NURUL ISLAM,Independent,289,1,290,0.13,62,11,I
10,MD. MOSARAF HOSSAIN,Independent,827,0,827,0.37,62,5,I
11,SYED IMRAN ALI MEERZA,Independent,652,0,652,0.29,62,7,I
12,NOTA,None of the Above,3392,4,3396,1.5,62,4,NOTA
1,ABDUL SOUMIK HOSSAIN,All India Trinamool Congress,134346,611,134957,60.79,63,1,AITC
2,FIROZA BEGAM,Indian National Congress,54918,337,55255,24.89,63,2,INC
3,MST MASUARA KHATUN,Bharatiya Janata Party,21010,128,21138,9.52,63,3,BJP
4,RULIYA PARVIN,Bahujan Samaj Party,584,3,587,0.26,63,9,BSP
5,ABDUL HAI,Bahujan Maha Party,246,1,247,0.11,63,12,BMP
6,GOLAM MASUM REJA,Rashtriya Secular Majlis Party,2752,2,2754,1.24,63,5,RSMP
7,NASRIN NAHER LUCY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),497,4,501,0.23,63,10,SUCOI(C)
8,MD SAHER ALAM,SOCIAL DEMOCRATIC PARTY OF INDIA,1385,8,1393,0.63,63,6,SDPOI
9,SAIRA BIBI,United Socialist Party,198,4,202,0.09,63,13,USP
10,FIROZA BIBI,Independent,882,2,884,0.4,63,7,I
11,SAFIUR RAHAMAN MANDAL,Independent,496,0,496,0.22,63,11,I
12,HASIBUL ISLAM,Independent,827,1,828,0.37,63,8,I
13,NOTA,None of the Above,2769,5,2774,1.25,63,4,NOTA
1,GOURI SANKAR GHOSH,Bharatiya Janata Party,95330,637,95967,41.86,64,1,BJP
2,NEAJUDDIN SK,Indian National Congress,28698,137,28835,12.58,64,3,INC
3,MADAN MOHAN MANDAL,Bahujan Samaj Party,1099,0,1099,0.48,64,7,BSP
4,SHAONI SINGHA ROY,All India Trinamool Congress,93047,429,93476,40.78,64,2,AITC
5,MILIA SAJEM,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1004,0,1004,0.44,64,8,SUCOI(C)
6,SUJAT SK,Democratic Socialist Party of India,238,0,238,0.1,64,12,DSPI
7,HABIB SAIKH,Rashtriya Secular Majlis Party,1441,1,1442,0.63,64,6,RSMP
8,GOURI DAS SARKAR,Independent,753,0,753,0.33,64,9,I
9,BELLAL SK,Independent,2278,0,2278,0.99,64,5,I
10,MAHIRAM MURMU,Independent,535,0,535,0.23,64,11,I
11,SUBIR GHOSH,Independent,700,0,700,0.31,64,10,I
12,NOTA,None of the Above,2897,7,2904,1.27,64,4,NOTA
1,KANAI CHANDRA MONDAL,All India Trinamool Congress,99722,733,100455,48.18,65,1,AITC
2,KRIPALINI GHOSH,Communist Party of India (Marxist),38926,203,39129,18.77,65,3,CPI(M)
3,MOHAN HALDER,Bharatiya Janata Party,64485,437,64922,31.14,65,2,BJP
4,BARUN MANDAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1378,3,1381,0.66,65,5,SUCOI(C)
5,NOTA,None of the Above,2625,4,2629,1.26,65,4,NOTA
1,ADITYA MOULIK,Bharatiya Janata Party,60281,401,60682,32.64,66,2,BJP
2,ASHIS MARJIT,All India Trinamool Congress,92737,518,93255,50.15,66,1,AITC
3,BIPAD TARAN BAGDI,Indian National Congress,27336,87,27423,14.75,66,3,INC
4,TULU BALA DAS,Communist Party of India (Marxist-Leninist) (Liberation),1509,2,1511,0.81,66,5,CPI(M)(L)
5,MANIK KUMAR DAS,Janata Dal (United),1378,2,1380,0.74,66,6,JD(U)
6,NOTA,None of the Above,1683,2,1685,0.91,66,4,NOTA
1,AMIYA KUMAR DAS,Bharatiya Janata Party,78680,461,79141,44.76,67,2,BJP
2,JIBAN KRISHNA SAHA,All India Trinamool Congress,81320,570,81890,46.32,67,1,AITC
3,SHILADITYA HALDAR,Indian National Congress,12166,94,12260,6.93,67,3,INC
4,NARESH KUMAR DAS,Independent,1501,3,1504,0.85,67,5,I
5,NOTA,None of the Above,2002,6,2008,1.14,67,4,NOTA
1,APURBA SARKAR (DAVID),All India Trinamool Congress,94594,805,95399,51.16,68,1,AITC
2,GOUTAM ROY,Bharatiya Janata Party,56625,694,57319,30.74,68,2,BJP
3,SHAFIUL ALAM KHAN (BONU),Indian National Congress,27296,259,27555,14.78,68,3,INC
4,SHER ALAM,"Justice and Development Party,",357,3,360,0.19,68,7,JADP
5,SUKHEN HALDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),262,2,264,0.14,68,8,SUCOI(C)
6,BODON DAS,Independent,210,1,211,0.11,68,9,I
7,SUFAL BAGDI,Independent,473,0,473,0.25,68,6,I
8,SYED AZIZUR HOSSAIN(NASHIM),Independent,1767,2,1769,0.95,68,5,I
9,NOTA,None of the Above,3121,10,3131,1.68,68,4,NOTA
1,IMAN KALYAN MUKHERJEE,Bharatiya Janata Party,52809,334,53143,28.11,69,2,BJP
2,KAMALESH CHATTERJEE (GOPAL),Indian National Congress,30013,103,30116,15.93,69,3,INC
3,SHYAMAPADA GHOSH,Bahujan Samaj Party,1445,5,1450,0.77,69,7,BSP
4,HUMAYUN KABIR,All India Trinamool Congress,95906,320,96226,50.9,69,1,AITC
5,BADAN GHOSH,Amra Bangalee,2581,0,2581,1.37,69,4,AB
6,SAJJAD HOSSAIN,All India Majlis-E-Ittehadul Muslimeen,2067,9,2076,1.1,69,6,AIMM
7,BASUDEB SAHA,Independent,1010,1,1011,0.53,69,8,I
8,NOTA,None of the Above,2441,3,2444,1.29,69,5,NOTA
1,ARABINDA BISWAS,Bharatiya Janata Party,49611,615,50226,23.87,70,2,BJP
2,KAFIRUDDIN SK,Indian National Congress,36988,294,37282,17.72,70,3,INC
3,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,117625,869,118494,56.31,70,1,AITC
4,MUJIBUR RAHAMAN,Indian Union Muslim League,1035,4,1039,0.49,70,6,IUML
5,Md. Babar Ali,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1338,0,1338,0.64,70,5,SUCOI(C)
6,HASANUR ZAMAN SK,Hindustani Awam Morcha (Secular),504,2,506,0.24,70,7,HAM(S)
7,NOTA,None of the Above,1550,10,1560,0.74,70,4,NOTA
1,SAFIUJJAMAN SEIKH,Indian National Congress,26742,207,26949,13.18,71,3,INC
2,SUMIT GHOSH,Bharatiya Janata Party,58417,613,59030,28.86,71,2,BJP
3,HASANUZZAMAN SK,All India Trinamool Congress,112173,689,112862,55.19,71,1,AITC
4,MD: SAGIR HOSSAIN,Democratic Socialist Party of India,1173,3,1176,0.58,71,6,DSPI
5,SARIFUL ISLAM,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),472,6,478,0.23,71,8,SUCOI(C)
6,KAJAL GHOSH BISWAS,Independent,1965,3,1968,0.96,71,4,I
7,MUKTI PADA KONAI,Independent,678,2,680,0.33,71,7,I
8,NOTA,None of the Above,1361,7,1368,0.67,71,5,NOTA
1,Naru Gopal Mukherjee,All India Trinamool Congress,61835,653,62488,31.62,72,2,AITC
2,Manoj Chakraborty,Indian National Congress,39377,790,40167,20.33,72,3,INC
3,Sajal Sen,Bahujan Samaj Party,1081,7,1088,0.55,72,5,BSP
4,Subrata Maitra (Kanchan),Bharatiya Janata Party,87759,1581,89340,45.21,72,1,BJP
5,Goutam Ghosh (Dwarak Ghosh),SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1029,9,1038,0.53,72,6,SUCOI(C)
6,Rekha Roy,Bahujan Mukti Party,413,1,414,0.21,72,8,BMP
7,Sujit Kumar Das,Independent,547,0,547,0.28,72,7,I
8,NOTA,None of the Above,2504,21,2525,1.28,72,4,NOTA
1,TANMOY BISWAS,Bharatiya Janata Party,18261,117,18378,8.51,73,3,BJP
2,NIAMOT SHEIKH,All India Trinamool Congress,101982,678,102660,47.51,73,1,AITC
3,MIR ALAMGIR (PALASH),Indian National Congress,88000,594,88594,41.0,73,2,INC
4,GOLAM AMBIA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1711,14,1725,0.8,73,4,SUCOI(C)
5,ABUBAKKAR MANDAL,Independent,265,2,267,0.12,73,9,I
6,ALAMGIR MANDAL,Independent,230,1,231,0.11,73,10,I
7,INDRAJIT BAGDI,Independent,153,1,154,0.07,73,12,I
8,WAHED ANSARY,Independent,202,0,202,0.09,73,11,I
9,MINTU HALDAR,Independent,673,1,674,0.31,73,8,I
10,RAFIKUL ISLAM,Independent,1079,0,1079,0.5,73,6,I
11,SAHABUR RAHAMAN KHA,Independent,994,0,994,0.46,73,7,I
12,NOTA,None of the Above,1105,12,1117,0.52,73,5,NOTA
1,ANUPAM MANDAL,Bharatiya Janata Party,43238,293,43531,21.51,74,2,BJP
2,MOSARAF HOSSAIN MONDAL (MADHU),Indian National Congress,31442,146,31588,15.61,74,3,INC
3,SAHINA MOMTAZ KHAN,All India Trinamool Congress,117130,554,117684,58.16,74,1,AITC
